Key,Russian,English
BugsDescription_0,Не только красивая но и боевая. Наносит урон из далека по наземным и воздушным целям. В террариуме ведет себя скромно и благородно.,
BugsWiki_0,"К муравьям разведчики - очень интересная профессия.
У разведчика же ответственность персональная. Сначала тяжко. Всё по памяти. Ничего непонятно. Фуражиры ничего не могут и быстро гибнут. Но после упорного труда сектор обрастает инфраструктурой: дорогами с двусторонней полосой, феромонной разметкой. Больше не нужно растолковывать бригаде, где еда. Достаточно сказать «точка 2» и подчинённые побегут к назначенному месту. Грамотно организованная работа упрощает жизнь: разведчики и фуражиры дают примерно половину добываемой пищи, хотя сами составляют лишь 12% от всей колонии.
Во-вторых, агрессивность. Стандартный муравей при встрече с незнакомой букашкой просто пробежит мимо. А разведчик попытается её поймать и исследовать методом вскрытия. Ну и проверит ядовитость на себе. Если после этого муравей не откинет лапки, то он и его команда овладеет приёмами добычи нового ресурса. А позже этот навык станет доступен и всему остальному муравейнику.
В-третьих, приёмы. Без интенсивной прокачки боевых навыков в зарослях микромира долго не проживёшь. Муравьи быстро учатся. С каждой новой дракой они приобретают индивидуальные приёмы ведения боя.
В-четвёртых, интеллект. Это главное требование. Профнепригодные отсеиваются быстро. Забыл дорогу домой — переквалифицировался в удобрение. Получил плевок от личинки сирфиды в лицо — остался инвалидом. Притащил в гнездо гусеницу голубянки — скормили ей всех детей ради бухла. С ростом населения муравейника, расширяются и его границы. Бывший неисследованный сектор теперь становится частью территории.
Эксперименты показывают, что рыжий лесной муравей может считать до 60, складывать и вычитать числа в пределах 5, алгоритмизировать информацию, давать «рабочие названия» местам, где чаще появляется пища, запоминать дорогу длиной сто метров.",
BugsName_0,Лучница,Archer
BugsDescription_1,"Боевая бабочка-боксер, тренируется на подвесных грушах.
Питается только фруктами",
BugsWiki_1,"Бабочки живут везде и не были обнаружены лишь в Антарктиде.В настоящее время выделяют около 165 тысяч видов бабочек. Причём большинство из них предпочитает вести ночной образ жизни. Каждый год энтомологи открывают их неизвестные виды.Самая выносливая бабочка в мире — «Монарх». Она может преодолеть расстояние в тысячу километров без остановок.В 1985 году обнаружили в Англии, на побережье Дорсета самую древнюю бабочку — моль Archeolepis, предположительно ее возраст насчитывает 180 миллионов лет. Бабочки пробуют пищу, стоя на ней. Это потому, что их датчики вкуса находятся в ногах.Бабочкам необходимо солнечное тепло чтобы летать",
BugsName_1,Бабочка,Butterfly
BugsDescription_2,"Наносит урон электрическим зарядом сразу нескольким врагам.
В террариуме в ночное время освещает комныты, в которых находится",
BugsWiki_2,"У светлячка свет полностью состоит из энергии, вырабатываемой организмом этого насекомого.Свечение важно и для их размножения. Самки светятся в листве деревьев и кустарников, поджидая самцов. Последние же, по мере приближения к ним, тоже начинают издавать световые сигналы.Свет помогает светлячкам избегать хищников — мерцая, они производят в своём теле горькие химические вещества, и охотники уже знают, что горящего светлячка ловить не стоит, потому что на вкус он им уже не понравится.В то время как взрослые особи большинства видов светлячков питаются пыльцой или более мелкими насекомыми, самки вида Photuris охотятся на самцов других видов. При этом они издают свет, имитирующий свечение самок тех видов, на которые они охотятся.Светлячки очень мало живут — одно только лето. Большую часть своей жизни они проводят в поиске партнера. Как только это происходит, самки откладывают яйца и умирают. Личинки появляются следующей весной, и жизненный цикл повторяется.",
BugsName_2,Светлячок,Firefly
BugsDescription_3,Насекомое-целитель. Лечит насекомых в бою и в больнице,
