Key,Russian,English
BuildingsName_0,Семена льна,
BuildingsDescription_0,"Семена льна укрепляют иммунитет ваших насекомых. Компоненты, входящие в их состав, способны улучшать настроение.",
BuildingsName_1,Фундук,
BuildingsDescription_1,"Фундук очень вкусный! И,кстати, по калорийности он превосходит рыбу и мясо. А если из фундука сделать масло, оно никогда не высохнет.",
BuildingsName_2,Яблоко,
BuildingsDescription_2,Яблоко. Очень сочное и питательное. С ним ваши насекомые надолго останутся сытыми,
BuildingsDescription_3,"Семечки богаты витаминами и успокаивают нервы. Недорого и сердито. То, что надо!",
BuildingsName_3,Семечки,
BuildingsName_4,Пшеница,
BuildingsDescription_4,"Пока еще насекомые не знают, как делать из пшеницы хлеб. И просто едят её. Что, впрочем, тоже очень питательно. Но вы же научите их?",
BuildingsName_5,Ежевика,
BuildingsDescription_5,"Свежие ягоды ежевики способствуют утолению жажды, а также обладают общеукрепляющим и жаропонижающим действием.",
BuildingsName_6,Виноград,
BuildingsDescription_6,Никогда не очищайте виноград от кожи - она является самой полезной его частью.,
BuildingsName_7,Сахар,
BuildingsDescription_7,"Светящиеся белые кусочки. Непонятно, что их к ним тянет.",
BuildingsName_8,Кукуруза,
BuildingsDescription_8,Кукуруза вкусная и сочная. Является источником достаточного количества нужных и важных для муравьев целебных элементов.,
BuildingsName_9,Шоколад,
BuildingsDescription_9,Изысканный бельгийских шоколад повышает настроение и вкусовые ощущения,
BuildingsName_10,Кусочек мяса,
BuildingsDescription_10,"Неужели вам не интересно, будут ли муравьи кушать мясо?",
BuildingsName_11,Картофель,
BuildingsDescription_11,"Картофель - просто, полезно и хватит надолго.",
BuildingsName_12,Капуста,
BuildingsDescription_12,Хрустящий лист никого не оставит равнодушным.,
BuildingsName_13,Гриб,
BuildingsDescription_13,"Грибочек - это и растение и животное. Посмотрим еще, кто кого съест.",
BuildingsName_14,Бургер,
BuildingsDescription_14,"Используйте, когда хотите побаловать своих муравьишек. Бургер им точно понравится.",
BuildingsName_15,Мешок с гречкой,
BuildingsDescription_15,Один мешок гречки может прокормить целую колонию.,
BuildingsName_16,Бочонок,
BuildingsDescription_16,Бочонок -  в нем может что то содержаться.,
BuildingsName_17,Жим лежа,
BuildingsDescription_17,Снаряд для жима лежа - для тренировки грудных мышц.,
BuildingsName_18,Бомбочки,
BuildingsDescription_18,Бомбочки - просто пару трафейных бомб с пиратских кораблей.,
BuildingsName_19,Луки,
BuildingsDescription_19,Трофейный лук от побежденных вражеских лучников.,
BuildingsName_20,Ядра,
BuildingsDescription_20,"Ядра - когда нибудь насекомые смогут их использовать, может через миллион лет.",
BuildingsName_21,Динамит,
BuildingsDescription_21,"Динамит - опасная штука, с ней шутки плохи, но не беспокойтесь это муляж.",
BuildingsName_22,Флаг,
BuildingsDescription_22,Флаг - красивый развивающийся флаг. Гордость вашего террариума.,
BuildingsName_23,Флаг,
BuildingsDescription_23,Флаг - красивый развивающийся флаг. Гордость вашего террариума.,
BuildingsName_24,Флаг,
BuildingsDescription_24,Флаг - красивый развивающийся флаг. Гордость вашего террариума.,
BuildingsName_25,Ромашка,
BuildingsDescription_25,Ромашка древними египтянами считалась мощным символом. Они посвящали ее богу солнца 'Ра'.,
BuildingsName_26,Хлорофитум,
BuildingsDescription_26,"Хлорофитум - Доказано, что за одни только сутки этот цветок способен уничтожить до 80 % болезнетворных микробов в помещении.",
BuildingsName_27,Папоротник,
BuildingsDescription_27,"Папоротники — это одно из древнейших высших растений, появившееся около 400 млн лет назад в девонском периоде палеозойской эры.",
BuildingsName_28,Подвесная груша,
BuildingsDescription_28,"Груша - отличный снаряд, может быть устроим боксерские поединки?",
BuildingsName_29,Cветильник,
BuildingsDescription_29,Светильничек будет светить ночью и освещать помещение.,
BuildingsName_30,Cветильник,
BuildingsDescription_30,Светильничек будет светить ночью и освещать помещение.,
BuildingsName_31,Cветильник,
BuildingsDescription_31,Светильничек будет светить ночью и освещать помещение.,
BuildingsName_32,Листок,
BuildingsDescription_32,Листок - на котором удобнее спать чем на голой земле.,
BuildingsName_33,Грибочки,
BuildingsDescription_33,"Грибы - древнейшие обитатели Земли, они даже старше динозавров, которых пережили.",
BuildingsName_34,Маленькая катапульта,
BuildingsDescription_34,Катапульта - метательное сооружение. При постройке первых катапульт ремесленники доверяли в первую очередь своему чутью и опыту.,
BuildingsName_35,Камни,
BuildingsDescription_35,"Красивые камни, напоминают с чего всё начиналось в этом мире.",
BuildingsName_36,Гиря,
BuildingsDescription_36,Гиря - хороший снаряд для тренировки по утру. Есть силачи в террариуме?,
BuildingsName_37,Занавеска,
BuildingsDescription_37,"Занавеска - Иногда некоторые насекомые могут стесняться, может дадим им чуть больше личного пространства? =)",
BuildingsName_38,Мишеньдля лучников,
BuildingsDescription_38,"Мишень для лучников. Как хорошо, что есть место где лучницы смогут пострелять из лука, это предотвратит несчастные случаи...",
BuildingsName_39,Поилка,
BuildingsDescription_39,"Вода важна для всех насекомых. Следите, чтобы в поилке всегда была водичка. Улучшая поилку, вы увеличиваете её объем, и воды хватает надольше.",
BuildingsName_40,Мусорный бак,
BuildingsDescription_40,В мусорный бак муравьи складывают мусор. Всё логично. Стоит брать с них пример. ,
BuildingsName_41,Запасы в бой,
BuildingsDescription_41,"Солдатам надо чем то питаться вдали от дома.
Поэтому умные муравьи делают им запасы.",
BuildingsName_42,Запасы еды,
BuildingsDescription_42,"Запасы. Когда еда закончится, насекомые начнут кушать из них. 
Да, они очень умные и запасливые",
BuildingsName_43,Огород,
BuildingsDescription_43,"Из огорода насекомые получают еду, но емунужно время чтобы дать плоды",
BuildingInner_43_GrowthTime,Вырастит через :,
BuildingsName_44,Золотая шахта,
BuildingsDescription_44,"В Золотой шахте муравьи добывают золото, Улучшай её чтобы улучшить её показатели.",
BuildingsName_45,Куча мусора,
BuildingsDescription_45,"Куча мусора - плохо пахнет, плохо выглядит, лучше убрать его скорее.",
BuildingsName_46,Подвесные груши,
BuildingsDescription_46,Эффективны для воздушных тренировок и внезапного приема пищи.,
BuildingsName_47,Куча травы,
BuildingsDescription_47,"Обычная трава, с помощью неё муравьи плетут себе лианы, чтобы ходить по ним.",
BuildingsName_48,Больница,
BuildingsDescription_48,"Больница - место для восстановления сил и мощи отряда. Груда листочков шалашиком и красный крест - ни кто бы не подумал, что тут обитает Божья коровка.",
BuildingInner_48_LadyBug,Нужна : {0}!,
BuildingInner_48_LadyBugInside,Работает : {0}!,
BuildingsName_49,Куча земли,
BuildingsDescription_49,"Куча земли, добытая из комнат. 
Ну а куда ещё муравьям складывать землю? ",
BuildingsName_50,Доска заказов,
BuildingsDescription_50,Нет базового описания которое в целом описывает сущность доски итд.,
BuildingsName_51,Напольная груша,
BuildingsDescription_51,Напольная груша - сдачи не дает. Разве что иногда. На ней эффективно отрабатывать скорость ударов...и уклонение.,
BuildingsName_52,Тренировочные копья,
BuildingsDescription_52,"Сдесь копейщики оттачивают свои навыки фихтования, чел лучше снаряд, тем быстрее повышается уровень бойца",
BuildingsName_53,Тюрьма,
