Key,Russian,English
awaken_0_phrase,Я спросонья<br> плохо целюсь.,
awaken_1_phrase,Разбудите меня<br> на рассвете.,
awaken_2_phrase,Поспать бы....,
awaken_3_phrase,Вас когда-нибудь<br> будили просто так?!.,
awaken_4_phrase,Мне не хватает стрел и сна!!<br> Особенно сна....,
awaken_5_phrase,Вы же могли разбудить<br> меня позже?.,
awaken_6_phrase,А на поверхности<br> сейчас светло?.,
awaken_7_phrase,ZZZzzzz.,
awaken_8_phrase,Зачем Вы<br> меня разбудили?.,
awaken_9_phrase,Ночью нужно спать!.,
awaken_10_phrase,Как Вам не стыдно!.,
awaken_11_phrase,"Я хочу спать,<br> не трогайте меня!.",
awaken_12_phrase,ZZZzzz.,
awaken_13_phrase,Что случилось?.,
awaken_14_phrase,Уже утро?.,
awaken_15_phrase,Зачем Вы разбудили меня?.,
awaken_16_phrase,Я очень хочу спать....,
awaken_17_phrase,:(.,
awaken_18_phrase,Я не выспался.,
awaken_19_phrase,Мне плохо....,
awaken_20_phrase,Зачем меня разбудили?.,
awaken_21_phrase,"Ой, зря Вы это сдлали.",
awaken_22_phrase,Я сейчас буду очень зол.,
awaken_23_phrase,Я хотел спать.,
awaken_24_phrase,А вот это зря,
awaken_25_phrase,Ну и что Вы хотели?,
awaken_26_phrase,"Делайте, что хотите, только не будите",
awaken_27_phrase,Нееет,
awaken_28_phrase,Время спать,
awaken_29_phrase,Я только погасил свой фонарь...<br>и опять все снова,
awaken_30_phrase,Невозможно заснуть,
awaken_31_phrase,Я когда-то любил<br> гулять ночью,
awaken_32_phrase,Всегда готов! Буди еще,
awaken_33_phrase,Я буду готов<br> за пару секунд,
awaken_34_phrase,Вперед!!!,
awaken_35_phrase,Бабочки не летают ночью,
awaken_36_phrase,Я же не ночной житель!,
awaken_37_phrase,Дай мне поспать,
awaken_38_phrase,Луна светит слишком ярко<br> - теперь не засну,
awaken_39_phrase,Хватит стучать по стеклу!,
Care_0_phrase,Баю баюшки баю,
Care_1_phrase,"Растите здоровыми,<br> малыши!",
Care_2_phrase,"Ой, кто тут двигается?",
digging_0_phrase,Копаю новую комнату.,
digging_1_phrase,Можете убрать землю на верху?.,
digging_2_phrase,"Интересно, что там спрятано?.",
digging_3_phrase,Надо быстрее выкопать!.,
digging_4_phrase,Я бы копал всю жизнь!.,
digging_5_phrase,Выкопаем быстро!.,
digging_6_phrase,Снова копать.,
greetings_0_phrase,Привет!,
greetings_1_phrase,С возвращением!,
greetings_2_phrase,Что сегодня<br> новенького?,
greetings_3_phrase,Здравствуй!,
greetings_4_phrase,О! Какие люди.,
greetings_5_phrase,Что будем делать?,
greetings_6_phrase,Мы скучали.,
greetings_7_phrase,Хорошо что<br> Вы пришли.,
greetings_8_phrase,Приветствую.,
greetings_9_phrase,Ну наконец-то!,
greetings_10_phrase,Салют!,
greetings_11_phrase,Здравствуйте!,
greetings_12_phrase,Мы Вас ждали!,
greetings_13_phrase,Приятно Вас<br> снова видеть!,
greetings_14_phrase,Приветик!,
greetings_15_phrase,Хей!,
greetings_16_phrase,Вы вернулись!<br> Ура!,
greetings_17_phrase,Рады Вас видеть!,
greetings_18_phrase,Приветствую Вас!,
greetings_19_phrase,Мы снова вместе!,
greetings_20_phrase,Мое почтение!,
greetings_21_phrase,Без Вас было скучно.,
greetings_22_phrase,Я тут!,
greetings_23_phrase,Как Ваши дела?,
greetings_24_phrase,Здравствуйте!,
greetings_25_phrase,Доброго времени суток,
greetings_26_phrase,Рад Вас видеть.,
greetings_27_phrase,Добро пожаловать! ,
greetings_28_phrase,Ура!!! Все снова в сборе! ,
greetings_29_phrase,Приветики! ,
greetings_30_phrase,"Мы рады,<br> что к нам зашел",
greetings_31_phrase,Мои приветствия!,
greetings_32_phrase,Я так ждал тебя! ,
greetings_33_phrase,Ого-го! Ты вернулся) ,
greetings_34_phrase,"Да ты храбрец,<br> приходи почаще) ",
