Key,Russian,English
UI_Dig,Копать,Dig
Time.Sec,сек.,sec.
Time.Min,мин.,min.
Time.Hour,ч.,h.
Time.Day,д.,d.
Time.Age,Возраст,Age
LVL,ур.,lvl.
UIRoomBuy,Открыть комнату?,
Yes,Да,Yes
Back,Назад,Back
Free,Бесплатно,Free
RoomBaseController,Комната,Room
RoomDigController,Комната,Room
RoomDigLowController,Комната,Room
RoomOpenableController,Комната,Room
RoomVineController,Лиана,Vine
UIChest_0,Деревянный сундук,
UIChest_1,Золотой сундук,
UIChest_2,Магический сундук,
UIChest_Open,ОТКРЫТЬ,
UIChest_Get,ЗАБРАТЬ,
UIQuests_Day,День,
UIQuests_Header,КВЕСТЫ,
UIBottom_Shop,МАГАЗИН,
UIBottom_Farm,ФЕРМА,
UIBottom_MyBugs,ЖУКИ,
UIBottom_Battle,В ПОХОД,
UIFarmShop_AvailableFrom,Доступно с <br>{0} {1},
FreePlace_NeedDeleteItems,Для установки нужно удалить следующие предметы,
FreePlace_CannotDeleteItems,Нельзя удалить следующий предмет,
Grabage,Мусор,
UserAgreementWindow_PrivatePolicy,"Нажав на кнопку {0}, <br>вы подтверждаете, что внимательно прочли и соглашаетесь с нашими {1}Условиями использования{2} и <br>{3}Политикой конфиденциальности{2}.",
UserAgreementWindow_Accept,Принять,
Loading,Загрузка,Loading
UIBuildingInfoMenu_Remove,Удалить ?,Remove?
UIBuildingInfoMenu_RestockLabel,Пополнить,Restock
UIBuildingInfoMenu_UpgradeLabel,Улучшить,Upgrade
UIBuildingInfoMenu_SpeedupLabel,Ускорить,Speedup
InfoParamExperience,Опыт,
InfoParamRecyclingTime,Время переработки,
InfoParamCapacity,Вмещаемость,
InfoParamEfficiency,Эффективность,
InfoParamRepairTime,Время восстановления,
InfoParamUnitCount,Кол-во лечащихся,
InfoParamUnitLevel,Уровень лечения,
UIOrderBoard_Header,ЗАКАЗЫ,ORDERS
UIOrderBoard_OrderItemComplete,ГОТОВО!,COMPLETE!
UIOrderBoard_CollectOrder,Собрать,Collect
UIOrderBoard_YourReward,ТВОЯ НАГРАДА!,YOUR REWARDS!
UIOrderBoard_GetReward,ЗАБРАТЬ,
UIOrderBoard_SpecialOrder,СПЕЦИАЛЬНЫЙ ЗАКАЗ,
UIOrderBoard_NextTimer,ДО СЛЕДУЮЩЕГО ЗАКАЗА :,
UIOrderBoard_Bonus0,Дай на защиту соседней фермы копейщиков: 2ур,
UIOrderBoard_Bonus1,"Для войны, нужны лучницы: 2ур",
UIOrderBoard_Bonus2,Собери большой запас пшеницы,
UIOrderBoard_Bonus3,"Улитки, любят еживику, можешь дать немного?",
UIOrderBoard_Dealer0,"Текст по умолчанию когда нет базовых заказов, надо заполнить!",
UIOrderBoard_Dealer1,"Мою ферму уничтожили мерзкие жуки! Помоги чем сможешь, молю!",
UIOrderBoard_Dealer2,Приветствую сосед! На меня напали. Можешь отправить мне пару своих воинов?,
UIOrderBoard_Dealer3,У нас в соседнем террариуме идет грандиозная стройка! Есть свободные рабочие?,
UIOrderBoard_Dealer4,"У нас жутко загрязнился террариум! Было бы здорово, если бы ты смог дать пару улиток!",
UIOrderBoard_Dealer5,Приветствую! Холод уничтожил почти все наши запасы. Сможешь чем-то помочь?,
UIOrderBoard_Dealer6,В округе ходят слухи о твоей замечательной и сладкой малине. Я готов купить у тебя всё что есть!,
UIOrderBoard_Dealer7,"У моей племянницы завтра день рожденье, а я не успел накрыть стол. Поможешь?",
UIOrderBoard_Dealer8,Я вчера нашел какой-то странный рецепт моего деда. Мне нужен сахар и виноград.,
UIOrderBoard_Dealer9,"Я знаю, какой отряд самый мощный: лучник, паук и два мечника. Достань их для меня. ",
UIOrderBoard_Dealer10,"Не останься в стороне! Мне нужны: бабочка, малина и сахарок... не спрашивай, зачем... только срочно! ",
UIOrderBoard_Dealer11,У меня проблема - простаивает больница. Нужны пара божьих коровок и еда.,
